Name:				110_Manual_n200_m300_bt100_5_1598
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		144.07
Calculation_Time:		2.25
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		29
No_of_Items:			44
Customer_Sequence:		6 10 8 29 15 32 9 25 31 22 7 18 28 14 33 1 30 19 23 21 17 5 16 2 11 12 13 27 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	4	22	0	0	0	0	46	57	55	3.98	0		0.007600
27	41	10	0	0	57	0	99	60	60	14.46	0		0.012200
13	22	50	0	0	117	0	23	56	35	3.91	0		0.015200
12	18	5	0	0	57	60	89	60	60	9.23	0		0.008600
12	19	14	0	0	57	120	83	60	60	1.16	0		0.001200
12	20	29	0	0	0	55	55	43	29	4.26	0		0.009000
12	21	70	0	0	117	35	20	36	56	2.60	0		0.018000
11	16	14	0	99	0	0	83	60	60	1.16	0		0.001200
11	17	70	0	0	0	84	20	36	56	2.60	0		0.018000
2	2	29	0	23	117	0	55	43	29	4.26	0		0.009000
16	27	72	0	89	0	60	78	60	60	14.36	0		0.015300
5	5	1	0	83	0	120	70	60	60	9.16	1		0.002200
5	6	57	0	23	117	29	31	24	38	4.17	1		0.005600
17	28	9	0	78	117	0	44	55	20	4.25	0		0.008800
21	33	8	0	23	141	29	60	21	53	2.99	0		0.011900
23	36	49	0	122	60	0	68	60	60	1	0		0.001200
23	37	60	0	83	117	20	25	33	58	3.94	0		0.023900
19	31	85	1	23	141	82	24	57	22	2.44	0		0.008900
30	45	11	1	122	120	0	41	57	55	4.71	0		0.010100
1	1	13	0	122	120	55	57	53	55	2.08	0		0.003400
33	48	12	0	182	0	0	118	60	60	3.16	0		0.002200
14	24	56	0	122	60	60	37	39	52	2.68	0		0.009300
14	23	47	0	122	99	60	35	20	41	1.07	0		0.007700
28	42	45	0	122	120	110	56	44	48	4.22	0		0.008600
28	43	79	0	122	60	112	39	32	58	3.87	0		0.015500
18	30	22	1	179	120	0	46	57	55	3.98	0		0.007600
18	29	7	0	122	120	158	24	29	22	2.56	0		0.018400
7	9	94	0	179	120	55	55	51	32	1.99	0		0.003500
22	34	19	0	161	60	60	36	39	38	2.30	0		0.008200
22	35	47	0	122	99	101	35	20	41	1.07	0		0.007700
31	46	90	0	161	60	98	26	23	56	4.64	0		0.038800
25	39	81	1	157	99	60	21	43	49	2.67	0		0.014800
9	12	4	0	167	0	60	92	60	60	10.25	0		0.009300
32	47	63	1	179	120	87	36	59	22	4.66	1		0.002200
15	25	6	0	200	60	0	52	41	21	2.06	0		0.004800
15	26	57	0	179	120	109	31	24	38	4.17	1		0.005600
29	44	87	0	153	0	120	114	60	60	14.32	0		0.010500
8	10	4	1	252	60	0	92	60	60	10.25	0		0.009300
8	11	71	1	252	60	60	63	60	60	6.96	0		0.009200
10	14	74	1	252	123	60	38	39	23	2.10	0		0.007100
10	15	89	0	252	123	83	34	32	31	2.80	0		0.012900
10	13	30	1	238	152	0	20	40	55	3.39	1		0.004200
6	8	89	0	252	123	114	34	32	31	2.80	0		0.012900
6	7	3	0	252	60	120	48	30	23	3.72	1		0.002600


