Name:				25_Manual_n50_m300_bt10_5_1642
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		28.26
Calculation_Time:		1.42
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			33
Customer_Sequence:		48 33 6 43 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
48	289	10	0	0	0	0	115	60	60	9.14	0		0.006600
33	197	10	0	0	60	0	115	60	60	9.14	0		0.006600
43	258	10	0	0	0	60	115	60	60	9.14	0		0.006600
43	259	10	0	0	60	60	115	60	60	9.14	0		0.006600
43	260	10	0	0	0	120	115	60	60	9.14	0		0.006600
6	39	10	0	0	60	120	115	60	60	9.14	0		0.006600
6	40	10	0	115	0	0	115	60	60	9.14	0		0.006600
33	198	10	0	115	60	0	115	60	60	9.14	0		0.006600
33	194	4	0	115	0	60	77	60	60	3.40	0		0.003700
6	33	4	0	115	60	60	77	60	60	3.40	0		0.003700
33	193	4	0	115	0	120	77	60	60	3.40	0		0.003700
43	255	2	0	0	120	0	48	41	54	4.52	0		0.011500
48	282	2	0	0	120	54	48	41	54	4.52	0		0.011500
6	32	2	0	0	120	108	48	41	54	4.52	0		0.011500
6	35	6	0	48	120	0	58	30	57	2.33	0		0.006700
33	195	6	0	48	120	57	58	30	57	2.33	0		0.006700
6	36	6	0	48	120	114	58	30	57	2.33	0		0.006700
48	285	6	0	106	120	0	58	30	57	2.33	0		0.006700
48	286	6	0	106	120	57	58	30	57	2.33	0		0.006700
48	287	6	0	106	120	114	58	30	57	2.33	0		0.006700
6	37	7	0	115	60	120	40	29	57	3.88	0		0.016700
48	288	7	0	155	60	120	40	29	57	3.88	0		0.016700
43	256	5	0	164	120	0	57	47	20	3.17	0		0.005900
43	257	5	0	164	120	20	57	47	20	3.17	0		0.005900
6	34	5	0	164	120	40	57	47	20	3.17	0		0.005900
33	191	3	0	155	89	120	25	27	43	2.42	0		0.017900
48	283	3	0	164	120	60	25	27	43	2.42	0		0.017900
48	284	3	1	164	147	60	25	27	43	2.42	0		0.017900
33	192	3	0	164	120	103	25	27	43	2.42	0		0.017900
6	38	9	0	164	147	103	21	21	33	1.44	0		0.016400
33	196	9	0	164	147	136	21	21	33	1.44	0		0.016400
48	280	1	0	192	0	60	39	50	56	1.28	1		0.000700
48	281	1	0	192	50	60	39	50	56	1.28	1		0.000700


