Name:				5_Manual_n50_m100_bt10_5_1639
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		204.63
Calculation_Time:		12.47
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		35
No_of_Items:			75
Customer_Sequence:		16 4 7 8 32 1 40 15 3 20 37 10 17 31 26 24 19 9 11 13 36 5 29 30 6 38 21 12 23 14 2 18 27 35 22 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
22	45	1	0	0	0	0	85	60	60	21.64	0		0.021200
22	46	5	0	0	60	0	46	32	57	1.53	0		0.005200
35	66	10	0	0	92	0	30	33	48	4.47	0		0.022600
35	65	7	1	0	125	0	25	50	35	3.66	0		0.014700
27	54	10	0	0	125	35	30	33	48	4.47	0		0.022600
18	36	5	0	0	60	57	46	32	57	1.53	0		0.005200
18	37	9	0	0	0	60	53	33	35	2.77	0		0.007900
2	2	5	0	0	0	95	46	32	57	1.53	0		0.005200
2	3	9	0	0	60	114	53	33	35	2.77	0		0.007900
14	28	5	0	50	125	0	46	32	57	1.53	0		0.005200
14	27	3	0	0	33	60	52	23	35	1.43	0		0.006000
14	29	8	0	50	125	57	45	34	43	4.59	1		0.003000
23	48	9	0	0	60	149	53	33	35	2.77	0		0.007900
23	47	3	0	0	32	95	52	23	35	1.43	0		0.006000
12	22	7	1	0	32	130	25	50	35	3.66	0		0.014700
12	20	3	0	0	0	152	52	23	35	1.43	0		0.006000
12	21	6	0	53	60	0	50	21	37	1.70	0		0.008100
21	42	5	0	53	81	0	46	32	57	1.53	0		0.005200
21	44	9	0	53	81	57	53	33	35	2.77	0		0.007900
21	43	6	0	53	60	37	50	21	37	1.70	0		0.008100
38	72	1	0	85	0	0	85	60	60	21.64	0		0.021200
38	74	9	0	53	81	92	53	33	35	2.77	0		0.007900
38	73	3	1	53	0	60	52	23	35	1.43	0		0.006000
6	9	2	1	53	81	127	25	51	29	1.19	0		0.004700
30	59	4	0	50	125	100	41	34	47	2.62	1		0.001900
29	56	1	0	76	0	60	85	60	60	21.64	0		0.021200
29	57	6	0	53	60	74	50	21	37	1.70	0		0.008100
29	58	8	0	50	125	147	45	34	43	4.59	1		0.003000
5	8	9	0	76	0	120	53	33	35	2.77	0		0.007900
5	7	3	0	76	33	120	52	23	35	1.43	0		0.006000
36	67	1	0	106	60	0	85	60	60	21.64	0		0.021200
36	68	2	1	53	81	156	25	51	29	1.19	0		0.004700
36	69	8	0	96	120	0	45	34	43	4.59	1		0.003000
36	70	8	0	96	120	43	45	34	43	4.59	1		0.003000
13	23	1	0	106	60	60	85	60	60	21.64	0		0.021200
13	26	10	0	128	33	120	30	33	48	4.47	0		0.022600
13	24	3	0	76	0	155	52	23	35	1.43	0		0.006000
13	25	6	0	106	66	120	50	21	37	1.70	0		0.008100
11	19	9	0	106	87	120	53	33	35	2.77	0		0.007900
11	18	2	1	104	87	155	25	51	29	1.19	0		0.004700
9	14	9	0	141	120	0	53	33	35	2.77	0		0.007900
9	15	10	0	129	0	120	30	33	48	4.47	0		0.022600
9	13	4	0	95	120	86	41	34	47	2.62	1		0.001900
19	38	9	0	141	120	35	53	33	35	2.77	0		0.007900
24	50	7	1	141	120	70	25	50	35	3.66	0		0.014700
24	49	6	0	136	120	105	50	21	37	1.70	0		0.008100
26	53	10	0	159	87	120	30	33	48	4.47	0		0.022600
26	52	3	0	136	120	142	52	23	35	1.43	0		0.006000
31	60	7	0	170	0	0	25	50	35	3.66	0		0.014700
17	35	2	0	170	0	35	25	51	29	1.19	0		0.004700
10	17	3	1	170	0	64	52	23	35	1.43	0		0.006000
10	16	2	0	170	0	99	25	51	29	1.19	0		0.004700
37	71	8	0	191	60	0	45	34	43	4.59	1		0.003000
20	41	10	0	170	0	128	30	33	48	4.47	0		0.022600
20	39	3	0	191	94	0	52	23	35	1.43	0		0.006000
20	40	6	0	141	153	0	50	21	37	1.70	0		0.008100
3	4	1	0	200	0	0	85	60	60	21.64	0		0.021200
3	5	8	0	191	60	43	45	34	43	4.59	1		0.003000
15	30	7	1	191	94	35	25	50	35	3.66	0		0.014700
15	31	7	1	191	94	70	25	50	35	3.66	0		0.014700
40	80	5	0	191	94	105	46	32	57	1.53	0		0.005200
40	77	3	0	194	120	0	52	23	35	1.43	0		0.006000
40	78	3	0	194	143	0	52	23	35	1.43	0		0.006000
40	79	3	0	194	119	35	52	23	35	1.43	0		0.006000
40	81	8	0	191	52	86	45	34	43	4.59	1		0.003000
1	1	6	0	191	126	70	50	21	37	1.70	0		0.008100
32	61	1	1	246	60	0	85	60	60	21.64	0		0.021200
32	62	6	0	191	126	107	50	21	37	1.70	0		0.008100
8	12	10	0	236	0	60	30	33	48	4.47	0		0.022600
7	11	9	0	236	33	60	53	33	35	2.77	0		0.007900
7	10	8	0	236	33	95	45	34	43	4.59	1		0.003000
4	6	2	1	246	145	0	25	51	29	1.19	0		0.004700
16	33	7	1	246	145	29	25	50	35	3.66	0		0.014700
16	32	6	0	246	145	64	50	21	37	1.70	0		0.008100
16	34	8	0	236	33	138	45	34	43	4.59	1		0.003000


