Name:				71_Manual_n150_m200_bt10_1_1703
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		65.36
Calculation_Time:		0.44
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			16
Customer_Sequence:		16 9 11 14 1 4 12 3 19 5 18 13 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
13	15	2	0	0	0	0	93	60	60	15.42	1		0.002800
18	22	7	0	0	60	0	120	60	60	15.66	0		0.010900
5	6	5	0	0	60	60	70	60	60	17.79	0		0.021200
19	24	9	0	93	0	0	108	60	60	4.11	0		0.003200
19	23	1	0	0	120	0	22	47	41	3.04	0		0.014700
3	4	2	0	0	60	120	93	60	60	15.42	1		0.002800
12	13	3	0	93	0	60	119	60	60	21.79	0		0.015300
12	14	10	0	93	0	120	105	60	60	4.20	0		0.003300
4	5	3	0	120	60	0	119	60	60	21.79	0		0.015300
1	2	7	0	93	60	60	120	60	60	15.66	0		0.010900
1	1	3	0	93	60	120	119	60	60	21.79	0		0.015300
14	16	2	0	212	0	0	93	60	60	15.42	1		0.002800
14	17	2	0	212	0	60	93	60	60	15.42	1		0.002800
11	12	9	1	239	60	0	108	60	60	4.11	0		0.003200
9	10	9	1	213	60	60	108	60	60	4.11	0		0.003200
16	19	9	1	212	60	120	108	60	60	4.11	0		0.003200


