Name:				74_Manual_n150_m200_bt10_4_1511
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		463.76
Calculation_Time:		23.69
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		81
No_of_Items:			109
Customer_Sequence:		11 50 56 61 73 67 82 2 58 19 74 14 27 39 12 76 16 51 35 63 34 30 60 31 45 5 81 37 52 72 41 85 7 57 48 13 47 21 9 70 43 83 68 22 24 65 62 78 71 42 40 64 20 79 75 8 23 29 44 69 54 15 26 59 25 53 36 1 33 38 49 18 10 46 17 80 55 32 28 3 6 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
6	8	8	0	0	0	0	54	36	40	1.36	0		0.003500
6	7	3	0	0	36	0	22	32	22	4.19	0		0.029700
3	3	2	0	0	68	0	50	21	57	1.63	0		0.007700
3	4	3	0	0	89	0	22	32	22	4.19	0		0.029700
28	37	7	0	0	121	0	23	30	45	2.35	0		0.017000
32	42	3	1	0	151	0	22	32	22	4.19	0		0.029700
55	71	1	1	0	151	22	20	39	45	2.90	0		0.018600
80	105	5	0	0	0	40	51	34	33	4.67	0		0.013500
17	22	10	1	0	0	73	34	50	47	3.93	0		0.011500
46	59	9	0	23	89	0	50	53	31	1.36	0		0.002600
10	14	8	0	0	0	120	54	36	40	1.36	0		0.003500
10	13	2	0	0	68	57	50	21	57	1.63	0		0.007700
18	23	6	1	0	151	67	23	45	37	2.72	0		0.013100
49	64	5	0	23	89	31	51	34	33	4.67	0		0.013500
38	49	1	1	0	151	104	20	39	45	2.90	0		0.018600
33	43	8	0	23	89	64	54	36	40	1.36	0		0.003500
1	1	2	0	0	68	114	50	21	57	1.63	0		0.007700
36	47	9	0	50	36	0	50	53	31	1.36	0		0.002600
36	46	8	0	23	89	104	54	36	40	1.36	0		0.003500
53	68	4	0	50	36	31	45	33	56	3.45	0		0.011600
25	33	1	1	23	125	31	20	39	45	2.90	0		0.018600
59	77	4	0	50	36	87	45	33	56	3.45	0		0.011600
59	78	10	1	50	36	143	34	50	47	3.93	0		0.011500
26	34	6	1	0	151	149	23	45	37	2.72	0		0.013100
15	20	8	0	23	89	144	54	36	40	1.36	0		0.003500
15	19	1	1	23	125	76	20	39	45	2.90	0		0.018600
54	69	2	0	45	145	0	50	21	57	1.63	0		0.007700
54	70	3	0	0	0	160	22	32	22	4.19	0		0.029700
69	89	2	0	45	145	57	50	21	57	1.63	0		0.007700
69	90	6	1	23	125	121	23	45	37	2.72	0		0.013100
44	57	9	0	77	89	0	50	53	31	1.36	0		0.002600
29	38	3	0	22	0	160	22	32	22	4.19	0		0.029700
23	30	8	0	54	0	0	54	36	40	1.36	0		0.003500
23	29	2	0	54	0	40	50	21	57	1.63	0		0.007700
8	11	7	1	54	0	97	23	30	45	2.35	0		0.017000
75	98	6	0	77	89	31	23	45	37	2.72	0		0.013100
79	104	10	0	100	36	0	34	50	47	3.93	0		0.011500
79	103	3	1	54	0	142	22	32	22	4.19	0		0.029700
20	25	2	1	77	89	68	50	21	57	1.63	0		0.007700
64	84	10	0	100	89	31	34	50	47	3.93	0		0.011500
40	52	6	0	77	89	125	23	45	37	2.72	0		0.013100
40	51	3	1	54	0	164	22	32	22	4.19	0		0.029700
42	54	1	1	95	145	0	20	39	45	2.90	0		0.018600
42	55	1	1	95	145	45	20	39	45	2.90	0		0.018600
71	93	8	1	100	89	78	54	36	40	1.36	0		0.003500
78	102	10	0	100	36	47	34	50	47	3.93	0		0.011500
78	101	7	1	95	145	90	23	30	45	2.35	0		0.017000
62	81	4	0	100	36	94	45	33	56	3.45	0		0.011600
62	82	7	1	95	145	135	23	30	45	2.35	0		0.017000
65	85	1	0	100	89	118	20	39	45	2.90	0		0.018600
24	32	10	1	108	0	0	34	50	47	3.93	0		0.011500
24	31	2	0	104	0	47	50	21	57	1.63	0		0.007700
22	27	9	0	158	0	0	50	53	31	1.36	0		0.002600
22	28	10	0	145	53	0	34	50	47	3.93	0		0.011500
68	88	5	0	136	103	0	51	34	33	4.67	0		0.013500
83	110	1	0	120	89	118	20	39	45	2.90	0		0.018600
43	56	6	1	134	145	0	23	45	37	2.72	0		0.013100
70	91	4	0	140	69	47	45	33	56	3.45	0		0.011600
70	92	5	0	140	69	103	51	34	33	4.67	0		0.013500
9	12	5	0	140	103	33	51	34	33	4.67	0		0.013500
21	26	10	1	140	103	66	34	50	47	3.93	0		0.011500
47	60	4	0	140	103	113	45	33	56	3.45	0		0.011600
47	61	10	1	140	69	136	34	50	47	3.93	0		0.011500
13	17	3	1	134	143	37	22	32	22	4.19	0		0.029700
48	62	7	1	134	143	59	23	30	45	2.35	0		0.017000
48	63	7	0	134	143	104	23	30	45	2.35	0		0.017000
57	73	1	0	158	0	31	20	39	45	2.90	0		0.018600
57	74	3	0	154	0	76	22	32	22	4.19	0		0.029700
57	75	3	0	154	0	98	22	32	22	4.19	0		0.029700
7	9	1	0	178	0	31	20	39	45	2.90	0		0.018600
7	10	1	0	176	0	76	20	39	45	2.90	0		0.018600
85	113	9	0	191	53	0	50	53	31	1.36	0		0.002600
85	112	3	0	176	0	121	22	32	22	4.19	0		0.029700
41	53	4	0	179	137	0	45	33	56	3.45	0		0.011600
72	94	5	0	179	137	56	51	34	33	4.67	0		0.013500
52	67	10	1	179	137	89	34	50	47	3.93	0		0.011500
37	48	9	0	191	53	31	50	53	31	1.36	0		0.002600
81	108	9	0	191	53	62	50	53	31	1.36	0		0.002600
81	107	8	0	179	137	136	54	36	40	1.36	0		0.003500
81	106	7	0	176	0	143	23	30	45	2.35	0		0.017000
5	6	8	0	191	53	93	54	36	40	1.36	0		0.003500
45	58	4	0	191	53	133	45	33	56	3.45	0		0.011600
31	40	5	0	208	0	0	51	34	33	4.67	0		0.013500
31	41	6	1	191	106	0	23	45	37	2.72	0		0.013100
60	79	4	0	208	0	33	45	33	56	3.45	0		0.011600
30	39	10	1	208	0	89	34	50	47	3.93	0		0.011500
34	44	7	0	191	106	37	23	30	45	2.35	0		0.017000
63	83	1	0	208	0	136	20	39	45	2.90	0		0.018600
35	45	6	0	228	0	136	23	45	37	2.72	0		0.013100
51	66	7	0	190	106	82	23	30	45	2.35	0		0.017000
16	21	6	0	236	106	0	23	45	37	2.72	0		0.013100
76	99	8	0	259	0	0	54	36	40	1.36	0		0.003500
12	16	3	1	214	106	37	22	32	22	4.19	0		0.029700
39	50	1	1	214	106	59	20	39	45	2.90	0		0.018600
27	36	6	1	214	106	104	23	45	37	2.72	0		0.013100
27	35	3	1	214	106	141	22	32	22	4.19	0		0.029700
14	18	5	0	259	36	0	51	34	33	4.67	0		0.013500
74	97	8	0	259	70	0	54	36	40	1.36	0		0.003500
19	24	8	0	259	106	0	54	36	40	1.36	0		0.003500
58	76	1	1	233	151	0	20	39	45	2.90	0		0.018600
2	2	3	1	233	151	45	22	32	22	4.19	0		0.029700
82	109	5	0	259	36	33	51	34	33	4.67	0		0.013500
67	87	1	1	233	151	67	20	39	45	2.90	0		0.018600
73	96	6	1	233	151	112	23	45	37	2.72	0		0.013100
73	95	3	1	233	151	149	22	32	22	4.19	0		0.029700
61	80	2	0	259	0	40	50	21	57	1.63	0		0.007700
56	72	3	1	258	0	97	22	32	22	4.19	0		0.029700
50	65	10	1	259	70	40	34	50	47	3.93	0		0.011500
11	15	7	1	258	0	119	23	30	45	2.35	0		0.017000


