Name:				74_Manual_n150_m200_bt10_4_1739
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		451.51
Calculation_Time:		29.14
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		82
No_of_Items:			110
Customer_Sequence:		32 45 40 10 72 73 81 67 50 52 85 39 47 3 80 51 60 63 19 34 27 1 74 46 25 28 70 9 83 41 38 5 30 17 20 21 23 43 7 2 13 68 62 12 75 35 76 69 8 82 44 58 22 14 18 78 48 31 15 24 61 16 65 55 64 54 42 4 57 71 79 37 6 33 36 53 66 26 49 11 29 59 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
59	77	4	0	0	0	0	45	33	56	3.45	0		0.011600
70	91	4	0	0	33	0	45	33	56	3.45	0		0.011600
41	53	4	0	0	66	0	45	33	56	3.45	0		0.011600
62	81	4	0	0	99	0	45	33	56	3.45	0		0.011600
53	68	4	0	0	132	0	45	33	56	3.45	0		0.011600
45	58	4	0	0	0	56	45	33	56	3.45	0		0.011600
47	60	4	0	0	33	56	45	33	56	3.45	0		0.011600
60	79	4	0	0	66	56	45	33	56	3.45	0		0.011600
46	59	9	0	0	99	56	50	53	31	1.36	0		0.002600
36	47	9	0	0	99	87	50	53	31	1.36	0		0.002600
37	48	9	0	0	0	112	50	53	31	1.36	0		0.002600
81	108	9	0	0	99	118	50	53	31	1.36	0		0.002600
85	113	9	0	0	0	143	50	53	31	1.36	0		0.002600
22	27	9	0	0	99	149	50	53	31	1.36	0		0.002600
44	57	9	0	50	0	0	50	53	31	1.36	0		0.002600
59	78	10	1	0	53	112	34	50	47	3.93	0		0.011500
24	32	10	1	45	132	0	34	50	47	3.93	0		0.011500
30	39	10	0	50	53	0	34	50	47	3.93	0		0.011500
17	22	10	0	50	0	31	34	50	47	3.93	0		0.011500
21	26	10	0	50	53	47	34	50	47	3.93	0		0.011500
79	104	10	0	50	0	78	34	50	47	3.93	0		0.011500
52	67	10	0	50	53	94	34	50	47	3.93	0		0.011500
78	102	10	0	50	0	125	34	50	47	3.93	0		0.011500
47	61	10	0	50	53	141	34	50	47	3.93	0		0.011500
22	28	10	0	84	53	0	34	50	47	3.93	0		0.011500
64	84	10	0	84	53	47	34	50	47	3.93	0		0.011500
50	65	10	0	84	53	94	34	50	47	3.93	0		0.011500
5	6	8	1	84	53	141	54	36	40	1.36	0		0.003500
23	30	8	0	95	132	0	54	36	40	1.36	0		0.003500
74	97	8	0	95	132	40	54	36	40	1.36	0		0.003500
19	24	8	0	95	132	80	54	36	40	1.36	0		0.003500
81	107	8	0	95	132	120	54	36	40	1.36	0		0.003500
36	46	8	0	100	0	0	54	36	40	1.36	0		0.003500
33	43	8	0	100	0	40	54	36	40	1.36	0		0.003500
15	20	8	0	100	0	80	54	36	40	1.36	0		0.003500
6	8	8	0	100	0	120	54	36	40	1.36	0		0.003500
10	14	8	0	118	53	0	54	36	40	1.36	0		0.003500
71	93	8	0	118	89	0	54	36	40	1.36	0		0.003500
76	99	8	0	118	53	40	54	36	40	1.36	0		0.003500
20	25	2	0	118	89	40	50	21	57	1.63	0		0.007700
1	1	2	0	149	132	0	50	21	57	1.63	0		0.007700
23	29	2	0	118	53	80	50	21	57	1.63	0		0.007700
54	69	2	0	149	153	0	50	21	57	1.63	0		0.007700
