Name:				79_Manual_n150_m200_bt100_4_1674
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		154.05
Calculation_Time:		2.97
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		28
No_of_Items:			39
Customer_Sequence:		9 6 20 5 4 14 26 3 18 16 23 13 33 1 32 2 19 11 27 29 8 15 7 25 10 30 17 22 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
22	29	12	0	0	0	0	50	51	54	1.40	0		0.002700
17	22	4	0	0	51	0	73	60	60	16.25	0		0.018600
30	39	16	0	0	111	0	30	47	59	4.86	0		0.017200
30	38	13	0	0	0	54	26	37	47	3.11	0		0.016200
10	12	6	0	0	51	60	65	60	60	2.31	0		0.003000
25	32	55	0	0	51	120	47	47	33	4.31	0		0.009800
7	9	54	0	0	51	153	59	35	23	2.17	0		0.005200
15	19	71	0	30	111	0	43	50	30	1.10	0		0.002500
8	10	5	0	73	0	0	100	60	60	20.35	0		0.017000
29	36	5	0	65	0	60	100	60	60	20.35	0		0.017000
29	37	47	0	0	111	59	35	37	27	4.50	0		0.017400
27	34	43	0	65	0	120	60	49	51	1.80	0		0.003100
11	14	20	0	0	111	86	44	29	43	1.80	0		0.007000
11	13	13	0	0	111	129	26	37	47	3.11	0		0.016200
19	25	49	0	44	111	30	21	54	51	3.94	0		0.017400
2	2	2	0	73	60	0	59	43	46	3.63	0		0.007200
32	43	63	0	73	103	0	83	60	60	7.50	0		0.007500
32	42	17	0	73	60	46	32	40	54	1.41	0		0.005500
1	1	46	0	73	103	60	48	39	45	4.85	0		0.013000
33	44	4	0	156	60	0	73	60	60	16.25	0		0.018600
33	45	48	0	65	60	100	42	25	29	2.11	1		0.002000
13	17	30	0	121	60	60	102	60	60	19.67	0		0.016100
13	16	22	0	125	0	120	39	52	57	1.58	0		0.003900
23	30	13	1	73	142	60	26	37	47	3.11	0		0.016200
16	20	9	0	73	142	107	44	26	43	4.63	0		0.020200
16	21	64	0	73	142	150	40	32	30	4.71	0		0.018400
3	4	35	0	156	120	0	52	50	48	1.72	0		0.003300
18	23	10	0	125	52	120	57	50	37	3.71	1		0.001300
3	3	12	0	156	120	48	50	51	54	1.40	0		0.002700
18	24	94	0	173	0	0	30	29	42	2.33	0		0.013400
26	33	14	0	203	0	0	106	60	60	14.03	0		0.011000
14	18	8	0	156	120	102	60	37	49	3.50	0		0.007900
4	6	81	0	216	120	0	39	53	55	1.21	0		0.002900
4	5	3	0	156	120	151	57	21	25	4.06	1		0.003400
5	7	35	0	216	120	55	52	50	48	1.72	0		0.003300
20	26	11	0	203	0	60	86	60	60	6.12	0		0.005900
20	27	91	0	203	0	120	59	56	53	3.47	0		0.005300
6	8	4	0	229	60	0	73	60	60	16.25	0		0.018600
9	11	63	0	223	60	60	83	60	60	7.50	0		0.007500


