Name:				105_Manual_n200_m300_bt10_5_2036
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		167.75
Calculation_Time:		1.23
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		27
No_of_Items:			37
Customer_Sequence:		2 33 9 1 27 11 16 18 22 14 6 15 13 12 20 31 24 7 25 19 10 8 3 21 17 23 29 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
29	39	8	0	0	0	0	53	52	57	4.76	0		0.008600
23	32	9	0	0	52	0	92	60	60	15.08	0		0.013700
23	31	4	0	0	112	0	35	24	55	2.08	0		0.012400
23	30	1	1	0	136	0	25	43	29	1.03	0		0.004800
17	21	10	0	0	0	57	44	45	53	2.90	0		0.007300
21	26	8	0	0	52	60	53	52	57	4.76	0		0.008600
3	4	7	0	43	112	0	103	60	60	17.28	0		0.014000
3	3	5	0	0	136	29	29	21	23	4.69	0		0.038500
8	9	2	0	0	52	117	44	59	44	4.19	0		0.008100
10	11	9	0	43	112	60	92	60	60	15.08	0		0.013700
19	24	9	0	43	112	120	92	60	60	15.08	0		0.013700
25	34	10	0	0	0	110	44	45	53	2.90	0		0.007300
7	8	10	0	53	0	0	44	45	53	2.90	0		0.007300
24	33	2	0	53	52	60	44	59	44	4.19	0		0.008100
31	41	9	0	97	0	0	92	60	60	15.08	0		0.013700
20	25	5	0	97	60	0	29	21	23	4.69	0		0.038500
12	15	7	0	97	0	60	103	60	60	17.28	0		0.014000
12	16	9	0	97	0	120	92	60	60	15.08	0		0.013700
13	17	7	0	146	112	0	103	60	60	17.28	0		0.014000
15	19	4	0	97	81	0	35	24	55	2.08	0		0.012400
6	7	9	0	135	112	60	92	60	60	15.08	0		0.013700
14	18	7	0	135	112	120	103	60	60	17.28	0		0.014000
22	27	3	0	97	81	55	43	22	45	4.51	0		0.023800
22	28	3	0	97	81	100	43	22	45	4.51	0		0.023800
22	29	5	0	97	60	23	29	21	23	4.69	0		0.038500
18	22	2	1	140	60	0	44	59	44	4.19	0		0.008100
18	23	10	0	140	60	44	44	45	53	2.90	0		0.007300
16	20	1	0	140	60	97	25	43	29	1.03	0		0.004800
11	13	2	1	199	60	0	44	59	44	4.19	0		0.008100
11	14	6	0	184	60	44	32	50	38	4.66	0		0.014600
11	12	1	0	140	60	126	25	43	29	1.03	0		0.004800
27	37	7	0	200	0	0	103	60	60	17.28	0		0.014000
27	36	6	0	184	60	82	32	50	38	4.66	0		0.014600
1	1	5	0	184	60	120	29	21	23	4.69	0		0.038500
9	10	10	0	216	60	44	44	45	53	2.90	0		0.007300
33	43	9	0	200	0	60	92	60	60	15.08	0		0.013700
2	2	7	0	189	0	120	103	60	60	17.28	0		0.014000


