Name:				110_Manual_n200_m300_bt100_5_2015
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		135.14
Calculation_Time:		7.71
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		31
No_of_Items:			47
Customer_Sequence:		24 14 33 9 8 30 25 20 36 1 22 2 21 29 5 12 10 6 31 11 32 28 15 7 16 4 18 27 23 34 13 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
33	48	12	0	0	0	0	118	60	60	3.16	0		0.002200
29	44	87	0	0	60	0	114	60	60	14.32	0		0.010500
4	4	22	1	0	120	0	46	57	55	3.98	0		0.007600
9	12	4	0	0	0	60	92	60	60	10.25	0		0.009300
8	10	4	0	0	60	60	92	60	60	10.25	0		0.009300
12	18	5	0	0	0	120	89	60	60	9.23	0		0.008600
34	50	65	0	0	60	120	83	60	60	14.97	0		0.015000
12	19	14	0	114	60	0	83	60	60	1.16	0		0.001200
34	49	34	0	0	120	55	39	24	29	2.41	0		0.012900
16	27	72	0	92	60	60	78	60	60	14.36	0		0.015300
23	36	49	0	83	60	120	68	60	60	1	0		0.001200
8	11	71	0	118	0	0	63	60	60	6.96	0		0.009200
1	1	13	0	57	120	0	57	53	55	2.08	0		0.003400
36	52	13	0	39	120	55	57	53	55	2.08	0		0.003400
18	30	22	1	39	120	110	46	57	55	3.98	0		0.007600
27	41	10	0	92	0	60	99	60	60	14.46	0		0.012200
30	45	11	1	89	0	120	41	57	55	4.71	0		0.010100
28	42	45	0	114	120	0	56	44	48	4.22	0		0.008600
7	9	94	0	114	120	48	55	51	32	1.99	0		0.003500
14	24	56	0	114	120	80	37	39	52	2.68	0		0.009300
28	43	79	0	114	120	132	39	32	58	3.87	0		0.015500
12	20	29	0	146	0	120	55	43	29	4.26	0		0.009000
2	2	29	0	146	0	149	55	43	29	4.26	0		0.009000
21	33	8	1	151	60	120	60	21	53	2.99	0		0.011900
22	34	19	0	170	120	0	36	39	38	2.30	0		0.008200
24	38	9	0	181	0	0	44	55	20	4.25	0		0.008800
23	37	60	1	0	144	55	25	33	58	3.94	0		0.023900
20	32	60	0	170	120	38	25	33	58	3.94	0		0.023900
13	22	50	0	170	60	60	23	56	35	3.91	0		0.015200
15	25	6	0	197	60	0	52	41	21	2.06	0		0.004800
25	39	81	0	170	120	96	21	43	49	2.67	0		0.014800
12	21	70	0	197	60	21	20	36	56	2.60	0		0.018000
11	17	70	0	197	60	77	20	36	56	2.60	0		0.018000
10	14	74	0	206	120	0	38	39	23	2.10	0		0.007100
6	8	89	0	206	120	23	34	32	31	2.80	0		0.012900
10	15	89	0	206	120	54	34	32	31	2.80	0		0.012900
31	46	90	0	197	60	133	26	23	56	4.64	0		0.038800
22	35	47	0	206	120	85	35	20	41	1.07	0		0.007700
14	23	47	0	206	120	126	35	20	41	1.07	0		0.007700
11	16	14	0	225	0	0	83	60	60	1.16	0		0.001200
18	29	7	1	0	120	84	24	29	22	2.56	0		0.018400
32	47	63	0	225	0	60	36	59	22	4.66	1		0.002200
10	13	30	1	225	0	82	20	40	55	3.39	1		0.004200
6	7	3	0	223	20	82	48	30	23	3.72	1		0.002600
5	6	57	1	170	120	145	31	24	38	4.17	1		0.005600
15	26	57	0	217	60	21	31	24	38	4.17	1		0.005600
5	5	1	1	244	101	0	70	60	60	9.16	1		0.002200


