Name:				73_Manual_n150_m200_bt10_3_2480
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		234.37
Calculation_Time:		3.99
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		39
No_of_Items:			52
Customer_Sequence:		13 3 2 4 26 30 18 39 34 7 14 15 36 41 24 10 25 20 31 6 11 16 17 27 29 35 1 21 23 44 33 19 22 28 5 37 8 12 43 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
43	57	1	0	0	0	0	99	60	60	2.61	0		0.002200
12	20	9	0	0	60	0	32	59	34	3.94	0		0.010400
12	19	7	0	0	119	0	33	26	46	3.66	0		0.021300
12	18	5	1	0	145	0	22	47	37	1.48	0		0.007200
8	14	10	0	0	0	60	57	49	30	2.17	0		0.003900
8	13	9	0	0	60	34	32	59	34	3.94	0		0.010400
37	49	6	0	0	145	37	39	25	58	2.97	0		0.015200
37	48	4	0	0	60	68	35	52	20	3.25	0		0.008900
5	7	2	0	35	60	0	113	60	60	1.36	0		0.001000
5	9	10	0	0	0	90	57	49	30	2.17	0		0.003900
5	8	9	0	0	60	88	32	59	34	3.94	0		0.010400
28	39	7	0	0	145	95	33	26	46	3.66	0		0.021300
22	32	7	0	0	145	141	33	26	46	3.66	0		0.021300
19	29	5	1	33	120	0	22	47	37	1.48	0		0.007200
33	44	4	1	0	0	120	35	52	20	3.25	0		0.008900
44	58	1	0	35	60	60	99	60	60	2.61	0		0.002200
23	33	7	0	47	145	0	33	26	46	3.66	0		0.021300
21	31	2	0	35	60	120	113	60	60	1.36	0		0.001000
1	1	5	1	33	120	37	22	47	37	1.48	0		0.007200
35	46	6	0	33	120	74	39	25	58	2.97	0		0.015200
29	40	9	1	0	0	140	32	59	34	3.94	0		0.010400
27	38	5	1	33	120	132	22	47	37	1.48	0		0.007200
17	27	3	1	59	0	60	57	40	20	3.90	0		0.008600
16	26	10	1	59	0	80	57	49	30	2.17	0		0.003900
16	25	4	0	59	0	110	35	52	20	3.25	0		0.008900
11	17	9	0	59	0	130	32	59	34	3.94	0		0.010400
6	11	6	0	47	145	46	39	25	58	2.97	0		0.015200
6	10	5	1	47	145	104	22	47	37	1.48	0		0.007200
31	42	1	0	108	0	0	99	60	60	2.61	0		0.002200
20	30	2	0	108	0	60	113	60	60	1.36	0		0.001000
25	36	6	0	80	120	0	39	25	58	2.97	0		0.015200
10	16	6	0	80	120	58	39	25	58	2.97	0		0.015200
24	34	2	0	94	0	120	113	60	60	1.36	0		0.001000
24	35	8	0	47	145	141	36	26	43	2.66	0		0.014200
41	54	1	0	148	60	0	99	60	60	2.61	0		0.002200
41	55	10	0	119	120	0	57	49	30	2.17	0		0.003900
36	47	1	0	148	60	60	99	60	60	2.61	0		0.002200
15	24	9	1	119	120	30	32	59	34	3.94	0		0.010400
15	23	7	0	119	120	64	33	26	46	3.66	0		0.021300
14	22	1	0	148	60	120	99	60	60	2.61	0		0.002200
7	12	3	0	178	120	0	57	40	20	3.90	0		0.008600
34	45	2	1	247	0	0	113	60	60	1.36	0		0.001000
39	52	9	1	178	120	20	32	59	34	3.94	0		0.010400
18	28	9	1	178	120	54	32	59	34	3.94	0		0.010400
30	41	3	0	178	120	88	57	40	20	3.90	0		0.008600
26	37	9	1	178	120	108	32	59	34	3.94	0		0.010400
4	5	8	0	178	120	142	36	26	43	2.66	0		0.014200
4	6	8	1	214	120	142	36	26	43	2.66	0		0.014200
4	4	7	0	237	120	0	33	26	46	3.66	0		0.021300
2	2	6	0	247	0	60	39	25	58	2.97	0		0.015200
3	3	4	0	247	25	60	35	52	20	3.25	0		0.008900
13	21	8	0	247	77	60	36	26	43	2.66	0		0.014200


