Name:				85_Manual_n150_m300_bt10_5_2331
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		111.93
Calculation_Time:		4.22
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		20
No_of_Items:			46
Customer_Sequence:		16 24 2 14 22 27 13 7 6 11 18 8 4 20 1 9 21 23 19 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	5	3	0	0	0	0	62	60	60	14.95	0		0.020100
21	41	5	0	0	60	0	88	60	60	3.10	0		0.002900
19	36	8	0	0	120	0	39	54	21	3.24	0		0.007700
23	45	5	0	62	0	0	88	60	60	3.10	0		0.002900
23	44	1	0	62	0	60	74	60	60	12.98	0		0.014600
23	46	10	0	0	120	21	20	47	55	1.32	0		0.007000
21	40	5	0	0	60	60	88	60	60	3.10	0		0.002900
3	6	6	0	0	0	60	25	34	45	1.98	0		0.011700
21	42	9	0	0	120	76	22	38	46	2.43	0		0.014500
9	19	1	0	0	60	120	74	60	60	12.98	0		0.014600
9	20	2	0	39	120	0	53	34	45	4.37	0		0.012100
9	21	6	0	0	120	122	25	34	45	1.98	0		0.011700
1	1	3	0	62	0	120	62	60	60	14.95	0		0.020100
20	38	5	0	88	60	0	88	60	60	3.10	0		0.002900
20	37	2	0	39	120	45	53	34	45	4.37	0		0.012100
20	39	7	0	39	120	90	59	26	31	1.20	0		0.003900
4	7	1	0	88	60	60	74	60	60	12.98	0		0.014600
4	8	3	0	74	60	120	62	60	60	14.95	0		0.020100
4	9	10	1	39	154	0	20	47	55	1.32	0		0.007000
8	16	2	0	39	120	121	53	34	45	4.37	0		0.012100
8	17	9	0	98	120	0	22	38	46	2.43	0		0.014500
8	18	9	0	98	120	46	22	38	46	2.43	0		0.014500
18	34	7	0	120	120	0	59	26	31	1.20	0		0.003900
6	13	7	0	120	146	0	59	26	31	1.20	0		0.003900
11	23	4	1	120	120	31	21	28	49	1.45	0		0.012300
6	12	7	0	120	141	31	59	26	31	1.20	0		0.003900
18	35	9	0	98	120	92	22	38	46	2.43	0		0.014500
6	14	7	0	120	141	62	59	26	31	1.20	0		0.003900
6	11	4	1	120	120	80	21	28	49	1.45	0		0.012300
7	15	1	0	150	0	0	74	60	60	12.98	0		0.014600
13	27	6	1	120	141	93	25	34	45	1.98	0		0.011700
27	55	5	0	136	0	60	88	60	60	3.10	0		0.002900
27	53	1	0	124	0	120	74	60	60	12.98	0		0.014600
27	54	3	0	176	60	0	62	60	60	14.95	0		0.020100
27	56	6	1	120	141	138	25	34	45	1.98	0		0.011700
22	43	3	0	162	60	60	62	60	60	14.95	0		0.020100
14	28	2	0	136	60	120	53	34	45	4.37	0		0.012100
14	29	9	0	179	120	0	22	38	46	2.43	0		0.014500
2	3	10	0	179	120	46	20	47	55	1.32	0		0.007000
2	4	10	0	179	120	101	20	47	55	1.32	0		0.007000
2	2	8	1	136	60	165	39	54	21	3.24	0		0.007700
24	48	2	1	190	60	120	53	34	45	4.37	0		0.012100
24	50	10	0	198	0	120	20	47	55	1.32	0		0.007000
16	31	3	0	224	0	0	62	60	60	14.95	0		0.020100
24	49	5	1	238	60	0	88	60	60	3.10	0		0.002900
24	47	1	0	224	60	60	74	60	60	12.98	0		0.014600


