Name:				037_n020_m200_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	3
Total_Travel_Distance:		404.60
Calculation_Time:		4248.00
Total_Iterations:		2511
ConstraintSet:			P12

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		6
No_of_Items:			57
Customer_Sequence:		20 11 3 13 16 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	66	2	0	0	0	0	16	4	7	91.66	0		15.623480
7	67	6	0	0	4	0	13	4	8	106.19	0		4.985194
7	70	9	0	0	8	0	15	3	6	59.77	0		4.239870
7	71	9	0	0	11	0	15	3	6	59.77	0		4.239870
7	72	10	0	0	14	0	8	6	4	192.84	0		29.256432
7	65	1	0	0	20	0	6	2	8	25.14	0		6.330425
7	68	8	0	0	22	0	15	3	5	45.53	1		2.275563
7	69	8	0	0	22	5	15	3	5	45.53	1		2.275563
16	156	2	0	0	0	7	16	4	7	91.66	0		15.623480
16	157	2	0	0	4	8	16	4	7	91.66	0		15.623480
16	160	6	0	0	11	6	13	4	8	106.19	0		4.985194
16	158	3	0	0	0	14	17	4	6	97.71	0		12.753177
16	159	5	0	0	11	14	11	4	4	18.12	0		1.576136
16	155	1	0	0	15	4	6	2	8	25.14	0		6.330425
16	161	8	0	0	8	6	15	3	5	45.53	1		2.275563
13	132	2	0	0	4	15	16	4	7	91.66	0		15.623480
13	133	2	0	0	0	20	16	4	7	91.66	0		15.623480
13	134	2	0	0	4	22	16	4	7	91.66	0		15.623480
13	138	7	0	15	8	0	14	5	6	54.66	0		7.804002
13	139	9	0	15	13	0	15	3	6	59.77	0		4.239870
13	140	10	0	15	16	0	8	6	4	192.84	0		29.256432
13	137	5	0	0	11	18	11	4	4	18.12	0		1.576136
13	135	4	0	0	11	22	14	4	7	103.97	1		2.257868
13	136	4	0	15	8	6	14	4	7	103.97	1		2.257868
3	20	2	0	16	4	0	16	4	7	91.66	0		15.623480
3	25	7	0	23	16	0	14	5	6	54.66	0		7.804002
3	21	3	0	16	4	7	17	4	6	97.71	0		12.753177
3	22	3	0	16	4	13	17	4	6	97.71	0		12.753177
3	23	3	0	16	4	19	17	4	6	97.71	0		12.753177
3	27	9	0	15	22	0	15	3	6	59.77	0		4.239870
3	28	10	0	15	16	4	8	6	4	192.84	0		29.256432
3	29	10	0	15	16	8	8	6	4	192.84	0		29.256432
3	24	5	0	16	4	25	11	4	4	18.12	0		1.576136
3	19	1	0	0	17	4	6	2	8	25.14	0		6.330425
3	26	8	0	0	22	10	15	3	5	45.53	1		2.275563
11	107	2	0	17	0	0	16	4	7	91.66	0		15.623480
11	114	7	0	23	16	6	14	5	6	54.66	0		7.804002
11	113	6	0	17	0	7	13	4	8	106.19	0		4.985194
11	108	3	0	17	0	15	17	4	6	97.71	0		12.753177
11	109	3	0	16	0	21	17	4	6	97.71	0		12.753177
11	116	9	0	15	13	6	15	3	6	59.77	0		4.239870
11	112	5	0	23	16	12	11	4	4	18.12	0		1.576136
11	110	4	0	14	8	13	14	4	7	103.97	1		2.257868
11	111	4	0	14	8	20	14	4	7	103.97	1		2.257868
11	115	8	0	0	22	15	15	3	5	45.53	1		2.275563
20	192	2	0	29	8	0	16	4	7	91.66	0		15.623480
20	193	2	0	29	8	7	16	4	7	91.66	0		15.623480
20	198	7	0	29	8	14	14	5	6	54.66	0		7.804002
20	199	7	0	28	8	20	14	5	6	54.66	0		7.804002
20	197	6	0	23	16	16	13	4	8	106.19	0		4.985194
20	200	10	0	28	8	26	8	6	4	192.84	0		29.256432
20	189	1	0	14	13	12	6	2	8	25.14	0		6.330425
20	190	1	0	14	13	20	6	2	8	25.14	0		6.330425
20	191	1	0	15	22	6	6	2	8	25.14	0		6.330425
20	194	4	0	30	21	0	14	4	7	103.97	1		2.257868
20	195	4	0	30	21	7	14	4	7	103.97	1		2.257868
20	196	4	0	30	21	14	14	4	7	103.97	1		2.257868


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		8
No_of_Items:			76
Customer_Sequence:		9 2 19 14 12 5 15 1 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
1	3	7	0	0	0	0	14	5	6	54.66	0		7.804002
1	2	6	0	0	5	0	13	4	8	106.19	0		4.985194
1	1	3	0	0	9	0	17	4	6	97.71	0		12.753177
1	6	10	0	0	13	0	8	6	4	192.84	0		29.256432
