Name:				479_n060_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		760.16
Calculation_Time:		4212.00
Total_Iterations:		79
ConstraintSet:			P15

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			80
Customer_Sequence:		13 2 56 20 16 52 22 9 10 42 12 27 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
27	181	35	0	0	0	0	8	7	8	262.72	0		141.166150
27	182	62	0	0	7	0	7	7	6	50.84	0		10.766065
27	183	65	0	0	14	0	13	4	3	22.46	0		27.587691
27	179	10	0	0	18	0	6	3	5	88.46	0		46.084328
27	180	22	0	0	18	5	16	5	6	134.20	1		5.482442
27	184	93	0	0	7	6	9	6	3	43.33	1		3.848157
12	79	30	0	0	0	8	11	6	8	566.68	0		70.683250
12	82	85	0	0	0	16	15	6	3	52.83	0		24.930876
12	81	71	0	0	0	19	14	6	3	59.83	0		8.990801
12	80	40	0	0	14	3	10	4	3	34.04	0		65.282122
12	78	16	0	0	13	6	11	5	6	60.69	1		4.466303
12	83	86	0	0	7	9	10	5	6	72.05	1		6.450769
42	282	98	0	0	0	22	13	6	5	70.38	0		6.234493
42	276	38	0	10	6	0	17	3	7	44.72	0		4.643171
42	278	44	0	10	9	0	12	4	7	69.33	0		5.237784
42	277	43	0	10	6	7	7	6	6	54.60	0		21.304347
42	280	77	0	0	23	0	16	2	6	32.95	0		40.757811
42	281	77	0	0	23	6	16	2	6	32.95	0		40.757811
42	279	61	0	0	18	11	6	2	3	11.53	1		11.908960
10	67	56	0	10	6	13	16	4	8	141.94	0		12.196395
10	64	32	0	0	6	21	12	6	7	104.48	0		25.684384
10	65	51	0	10	10	13	11	7	3	54.59	0		8.070596
10	69	95	0	12	6	21	6	5	7	29.80	0		2.839079
10	62	5	0	0	0	27	7	4	3	14.39	0		3.859971
10	63	12	0	7	0	27	8	3	3	18.26	0		45.030644
10	70	100	0	7	3	27	8	3	3	53.60	0		28.612693
10	66	53	0	0	20	11	12	3	8	37.58	1		3.463701
10	68	76	0	0	12	12	9	4	7	53.79	1		1.848585
9	59	81	0	12	11	16	13	6	8	131.66	0		38.076899
9	55	30	0	15	0	0	11	6	8	566.68	0		70.683250
9	57	43	0	12	11	24	7	6	6	54.60	0		21.304347
9	58	43	0	15	0	8	7	6	6	54.60	0		21.304347
9	60	97	0	15	0	14	8	4	7	36.81	0		6.572089
9	56	40	0	15	0	21	10	4	3	34.04	0		65.282122
9	61	100	0	15	0	24	8	3	3	53.60	0		28.612693
22	151	47	0	18	6	21	14	5	6	59.74	0		4.918677
22	150	14	0	25	10	0	17	3	8	159.80	0		32.193682
22	153	85	0	15	0	27	15	6	3	52.83	0		24.930876
22	152	72	0	19	11	24	12	3	5	22.78	0		4.202275
22	149	7	0	25	13	0	6	3	8	17.48	0		6.406345
52	346	21	0	25	16	0	14	5	7	109.83	0		5.793019
52	349	47	0	19	14	24	14	5	6	59.74	0		4.918677
52	347	26	0	16	21	0	15	3	8	82.62	0		7.433200
52	350	60	0	16	19	8	16	3	3	14.98	0		3.647971
52	348	31	0	12	17	11	16	6	5	76.92	1		1.093135
52	351	84	0	0	20	19	8	4	5	44.39	1		5.145766
52	352	94	0	0	19	24	7	6	3	17.08	1		2.336153
16	105	4	0	30	0	0	12	5	7	150.55	0		65.209531
16	107	78	0	30	0	7	12	2	5	136.40	0		36.493581
16	108	78	0	30	2	7	12	2	5	136.40	0		36.493581
16	106	12	0	18	6	27	8	3	3	18.26	0		45.030644
16	109	94	0	0	19	27	7	6	3	17.08	1		2.336153
20	138	81	0	30	0	12	13	6	8	131.66	0		38.076899
20	134	8	0	30	0	20	15	5	7	87.41	0		3.722067
20	136	35	0	33	13	7	8	7	8	262.72	0		141.166150
20	137	49	0	26	6	27	17	3	3	40.51	0		8.635136
20	140	92	0	30	4	7	13	2	5	23.99	0		5.955302
20	135	10	0	32	20	7	6	3	5	88.46	0		46.084328
20	139	90	0	8	19	19	11	5	4	32.23	1		1.034040
56	370	2	0	33	13	15	15	7	8	198.16	0		9.309949
56	375	63	0	33	13	23	15	7	6	149.41	0		16.178801
56	373	43	0	41	13	0	7	6	6	54.60	0		21.304347
56	374	51	0	41	13	6	11	7	3	54.59	0		8.070596
56	372	40	0	28	20	12	10	4	3	34.04	0		65.282122
56	371	9	0	28	20	15	9	3	4	30.99	0		7.313014
2	4	2	0	43	5	0	15	7	8	198.16	0		9.309949
2	5	4	0	19	20	19	12	5	7	150.55	0		65.209531
2	7	45	0	31	20	19	8	5	8	75.52	0		7.397643
2	6	19	0	39	20	0	12	4	5	37.19	0		11.757382
2	8	51	0	43	5	8	11	7	3	54.59	0		8.070596
2	9	77	0	39	20	5	16	2	6	32.95	0		40.757811
2	10	88	0	19	20	26	12	5	3	18.10	0		2.870438
13	85	14	0	39	22	5	17	3	8	159.80	0		32.193682
13	89	70	0	39	22	13	12	3	8	81.94	0		23.331999
13	88	54	0	30	0	27	14	5	3	52.08	0		18.121977
13	91	79	0	31	20	27	12	5	3	23.40	0		7.754642
13	90	72	0	39	20	21	12	3	5	22.78	0		4.202275
13	84	7	0	43	5	11	6	3	8	17.48	0		6.406345
13	87	42	0	43	8	11	13	5	6	75.35	1		1.854799
13	86	16	0	43	8	17	11	5	6	60.69	1		4.466303


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		13
No_of_Items:			80
Customer_Sequence:		45 32 11 60 37 35 41 49 30 55 19 31 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
31	207	33	0	0	0	0	11	5	6	93.44	0		11.996449
14	92	21	0	0	5	0	14	5	7	109.83	0		5.793019
14	93	47	0	0	10	0	14	5	6	59.74	0		4.918677
14	94	69	0	0	15	0	12	6	4	44.03	0		10.223420
14	95	82	0	0	15	4	14	7	7	106.72	0		3.320674
41	270	21	0	0	0	6	14	5	7	109.83	0		5.793019
31	205	13	0	0	22	0	14	3	7	29.92	0		3.250616
31	209	46	0	0	10	6	7	5	8	51.08	0		11.483219
31	211	74	0	0	5	7	14	5	3	46.07	0		5.773046
31	206	25	0	0	5	10	8	5	4	26.45	0		4.112257
31	210	50	0	0	22	7	11	2	6	21.66	0		39.655037
19	131	82	0	0	15	11	14	7	7	106.72	0		3.320674
19	128	32	0	0	5	14	12	6	7	104.48	0		25.684384
19	133	99	0	0	11	14	15	4	7	55.94	0		9.213913
19	125	1	0	0	15	18	17	4	6	324.19	0		21.004360
19	126	27	0	0	19	18	10	5	8	79.55	0		3.653309
19	129	34	0	0	5	21	8	6	8	111.01	0		23.956750
19	130	74	0	0	19	26	14	5	3	46.07	0		5.773046
19	132	92	0	0	22	13	13	2	5	23.99	0		5.955302
19	127	31	0	8	5	21	16	6	5	76.92	1		1.093135
55	366	38	0	0	11	21	17	3	7	44.72	0		4.643171
55	369	82	0	17	11	0	14	7	7	106.72	0		3.320674
55	368	70	0	14	19	0	12	3	8	81.94	0		23.331999
55	367	67	0	14	19	8	7	4	8	155.72	0		26.846853
55	365	31	0	14	19	16	16	6	5	76.92	1		1.093135
30	201	56	0	17	11	7	16	4	8	141.94	0		12.196395
30	199	21	0	30	18	0	14	5	7	109.83	0		5.793019
30	204	87	0	17	15	7	17	3	8	81.29	0		6.254436
30	202	71	0	24	0	0	14	6	3	59.83	0		8.990801
30	203	77	0	0	15	24	16	2	6	32.95	0		40.757811
30	200	29	0	11	0	0	11	5	5	71.28	1		11.368413
49	330	48	0	30	18	7	16	7	7	143.02	0		4.640660
37	250	92	0	0	0	13	13	2	5	23.99	0		5.955302
49	331	59	0	17	11	15	16	4	6	58.89	0		14.668816
49	329	44	0	17	15	15	12	4	7	69.33	0		5.237784
41	275	85	0	17	11	22	15	6	3	52.83	0		24.930876
41	269	15	0	17	17	22	16	6	7	181.30	0		13.206006
37	246	43	0	24	0	3	7	6	6	54.60	0		21.304347
60	398	64	0	0	0	18	14	5	8	141.17	0		13.462974
41	274	45	0	30	18	14	8	5	8	75.52	0		7.397643
49	332	83	0	30	23	14	10	2	8	45.02	0		8.307923
41	272	39	0	24	6	0	9	4	6	40.32	0		6.578567
41	273	39	0	24	6	6	9	4	6	40.32	0		6.578567
35	232	58	0	33	6	0	17	7	5	118.84	0		8.862683
35	233	64	0	24	6	12	14	5	8	141.17	0		13.462974
35	230	34	0	33	17	22	8	6	8	111.01	0		23.956750
60	397	30	0	24	0	9	11	6	8	566.68	0		70.683250
60	395	17	0	0	0	26	12	5	3	28.02	0		11.212687
41	271	26	0	38	18	14	15	3	8	82.62	0		7.433200
35	234	80	0	8	5	26	6	4	4	25.96	1		2.859807
37	245	32	0	38	0	0	12	6	7	104.48	0		25.684384
11	75	40	0	12	0	26	10	4	3	34.04	0		65.282122
37	248	67	0	24	6	20	7	4	8	155.72	0		26.846853
