Name:				600_n100_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	6
Total_Travel_Distance:		895.04
Calculation_Time:		3600.00
Total_Iterations:		2
ConstraintSet:			P3

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		11
No_of_Items:			44
Customer_Sequence:		61 82 2 26 50 13 84 74 16 57 95 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
95	373	44	0	0	0	0	11	6	5	112.58	0		7.644854
95	377	99	0	0	6	0	6	4	5	39.87	0		16.134714
95	372	5	0	0	10	0	7	2	5	20.08	0		5.942602
95	376	78	0	0	12	0	12	7	6	309.07	1		15.802668
95	374	47	0	0	19	0	14	5	3	160.45	1		8.060985
95	375	76	0	0	19	3	6	4	5	108.53	1		25.517075
57	232	8	0	0	0	5	11	5	6	137.94	0		21.136982
57	233	49	0	6	6	0	15	3	4	85.20	0		30.256570
57	234	88	0	0	5	5	7	7	3	70.04	0		41.193183
16	64	3	1	0	5	8	9	6	6	73.37	0		12.802202
16	67	39	0	11	0	0	16	3	4	21.88	0		3.564315
16	65	18	0	0	0	11	12	4	4	140.31	0		18.338948
16	69	61	0	0	0	15	12	2	3	25.89	0		20.329502
16	66	22	0	0	5	14	6	3	4	31.43	0		42.146415
16	68	54	0	12	12	0	17	6	3	129.58	1		13.703092
74	298	71	0	12	0	4	14	4	5	211.12	0		75.935597
74	299	72	0	12	12	3	13	6	5	102.72	1		2.296234
84	331	30	0	14	19	0	8	5	7	73.68	0		4.752347
84	334	67	0	0	8	14	6	5	6	84.08	0		15.950723
84	333	63	0	0	2	15	10	2	3	25.07	0		16.851397
84	332	58	0	0	19	8	6	4	3	26.76	1		6.564723
13	54	95	0	0	0	18	9	6	6	135.58	0		6.731768
13	53	92	0	21	6	0	17	6	3	116.97	0		19.038748
13	51	39	0	12	0	9	16	3	4	21.88	0		3.564315
13	52	83	0	0	8	20	7	4	3	66.80	0		82.520039
50	202	24	0	21	6	3	16	6	7	313.91	0		7.510782
50	201	19	0	12	0	13	16	3	4	91.61	0		8.301805
50	203	51	0	0	0	24	11	5	3	39.61	0		12.753070
50	204	86	0	12	12	8	13	6	8	333.67	1		16.378359
26	110	17	0	0	8	23	7	4	6	120.71	0		28.370423
26	111	51	0	0	0	27	11	5	3	39.61	0		12.753070
26	112	65	0	14	19	7	6	5	4	55.17	0		11.524138
2	10	28	0	12	0	17	16	3	8	71.63	0		15.257535
2	12	94	0	22	18	0	12	7	4	79.22	0		11.485395
2	8	7	0	21	6	10	15	3	7	69.74	0		14.635601
2	7	2	0	22	18	4	8	6	6	221.46	0		70.174472
2	9	12	0	14	19	11	6	4	6	37.46	0		13.871716
2	11	68	0	12	12	16	13	3	8	133.23	1		16.494977
82	327	92	0	28	0	0	17	6	3	116.97	0		19.038748
82	326	42	0	22	18	10	6	6	8	161.24	0		23.280666
82	325	16	0	21	9	10	9	2	8	159.47	0		23.026537
61	250	34	0	28	0	3	17	5	5	180.66	0		17.147061
61	252	55	0	12	0	25	8	4	5	44.71	0		7.726613
61	251	46	0	28	0	8	11	4	3	66.84	0		142.846242


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		20
No_of_Items:			73
Customer_Sequence:		48 90 24 36 15 12 93 68 89 37 49 28 47 70 42 92 96 40 43 88 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
88	348	85	0	0	0	0	6	5	8	86.85	0		82.178766
88	344	15	0	0	5	0	11	2	5	77.25	0		91.298277
88	347	61	0	0	7	0	12	2	3	25.89	0		20.329502
88	346	38	0	0	9	0	12	6	4	117.46	1		3.074725
88	345	35	0	0	15	0	6	6	8	118.03	1		7.713759
43	177	66	0	6	0	0	13	5	4	187.38	0		26.336857
43	175	15	0	0	21	0	11	2	5	77.25	0		91.298277
43	176	33	0	0	0	8	6	4	3	82.20	0		48.466423
40	164	66	0	6	15	0	13	5	4	187.38	0		26.336857
