Name:				337_n020_m400_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		418.80
Calculation_Time:		3600.00
Total_Iterations:		26
ConstraintSet:			P4

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			89
Customer_Sequence:		3 2 10 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	129	2	0	0	0	0	13	3	8	41.94	0		6.357081
7	130	2	0	0	3	0	13	3	8	41.94	0		6.357081
7	143	8	0	0	6	0	11	4	7	39.18	0		1.647596
7	140	7	0	0	10	0	14	6	3	40.86	0		11.155341
7	141	7	0	0	16	0	14	6	3	40.86	0		11.155341
7	142	7	0	0	10	3	14	6	3	40.86	0		11.155341
7	144	9	0	0	16	3	6	5	6	61.76	0		6.571891
7	147	9	0	0	10	6	6	5	6	61.76	0		6.571891
7	146	9	0	0	0	8	6	5	6	61.76	0		6.571891
7	145	9	0	0	16	9	6	5	6	61.76	0		6.571891
7	131	3	0	0	22	0	15	2	4	13.97	0		3.645134
7	132	3	0	0	22	4	15	2	4	13.97	0		3.645134
7	133	3	0	0	22	8	15	2	4	13.97	0		3.645134
7	134	3	0	0	22	12	15	2	4	13.97	0		3.645134
7	135	3	0	0	22	16	15	2	4	13.97	0		3.645134
7	148	10	0	0	22	20	14	2	4	56.44	0		11.405893
7	149	10	0	0	22	24	14	2	4	56.44	0		11.405893
7	128	1	0	11	6	0	12	3	3	21.65	0		3.189078
7	127	1	0	11	6	3	12	3	3	21.65	0		3.189078
7	136	4	0	13	0	0	15	4	8	53.06	1		1.746280
7	139	6	0	0	6	7	10	3	7	40.07	1		1.068636
7	138	6	0	0	6	14	10	3	7	40.07	1		1.068636
7	137	6	0	0	6	21	10	3	7	40.07	1		1.068636
10	199	7	0	14	10	0	14	6	3	40.86	0		11.155341
10	198	7	0	14	16	0	14	6	3	40.86	0		11.155341
10	196	7	0	6	16	3	14	6	3	40.86	0		11.155341
10	197	7	0	6	16	6	14	6	3	40.86	0		11.155341
10	202	9	0	0	10	12	6	5	6	61.76	0		6.571891
10	201	9	0	0	0	14	6	5	6	61.76	0		6.571891
10	200	9	0	0	16	15	6	5	6	61.76	0		6.571891
10	189	3	0	13	4	0	15	2	4	13.97	0		3.645134
10	190	3	0	13	4	4	15	2	4	13.97	0		3.645134
10	191	3	0	13	4	8	15	2	4	13.97	0		3.645134
10	204	10	0	6	16	9	14	2	4	56.44	0		11.405893
10	203	10	0	6	18	9	14	2	4	56.44	0		11.405893
10	186	1	0	6	16	13	12	3	3	21.65	0		3.189078
10	188	1	0	6	16	16	12	3	3	21.65	0		3.189078
10	187	1	0	6	16	19	12	3	3	21.65	0		3.189078
10	185	1	0	6	16	22	12	3	3	21.65	0		3.189078
10	193	4	0	6	0	8	15	4	8	53.06	1		1.746280
10	192	4	0	6	0	16	15	4	8	53.06	1		1.746280
10	195	6	0	11	6	6	10	3	7	40.07	1		1.068636
10	194	6	0	11	6	13	10	3	7	40.07	1		1.068636
2	23	2	0	14	10	3	13	3	8	41.94	0		6.357081
2	24	2	0	14	13	3	13	3	8	41.94	0		6.357081
2	36	8	0	14	10	11	11	4	7	39.18	0		1.647596
2	29	5	0	15	22	0	15	3	6	28.48	0		4.924769
2	35	7	0	28	0	0	14	6	3	40.86	0		11.155341
2	34	7	0	28	6	0	14	6	3	40.86	0		11.155341
2	39	9	0	0	10	18	6	5	6	61.76	0		6.571891
2	38	9	0	0	9	24	6	5	6	61.76	0		6.571891
2	37	9	0	6	10	6	6	5	6	61.76	0		6.571891
2	40	10	0	6	20	9	14	2	4	56.44	0		11.405893
2	20	1	0	6	19	13	12	3	3	21.65	0		3.189078
